,A,B,R_val,R_z_score,R_p_val
2024,Erythrocyte,SMG_Serous,-0.040644614396017346,-11.009394069876095,1.0
302,B_naive,SMG_Serous,-0.040818870985952126,-11.056594898236096,1.0
2210,Fibro_myofibroblast,Secretory_Goblet,-0.041029337664353606,-11.113603942005664,1.0
2779,Mesothelia,Suprabasal,-0.0415852722355827,-11.264189766540596,1.0
558,Basal,Fibro_immune_recruiting,-0.04168689586307437,-11.291716526936575,1.0
1382,DC_activated,SMG_Serous,-0.04170762741284358,-11.29733207537959,1.0
2947,Muscle_perivascular_immune_recruiting,Suprabasal,-0.041769458945242734,-11.314080363344484,1.0
2043,Fibro_adventitial,Macro_alveolar_metallothioneins,-0.04185750429331025,-11.337929179412711,1.0
2522,Macro_AW_CX3CR1,SMG_Serous,-0.041885698072521384,-11.345566019625542,1.0
402,B_plasma_IgG,Dividing_Basal,-0.04218491163274502,-11.426613903693434,1.0
580,Basal,Muscle_pericyte_airway,-0.04341336214993175,-11.759363913504748,1.0
1098,Chondrocyte,Fibro_immune_recruiting,-0.04347238479481831,-11.775351358982055,1.0
1441,DC_plasmacytoid,SMG_Serous,-0.043592801293284134,-11.807968538498335,1.0
1125,Chondrocyte,Myoepithelial,-0.04362123135423722,-11.815669380273174,1.0
1602,Dividing_Basal,NAF_endoneurial,-0.04367321910636572,-11.829751286535418,1.0
1708,Endothelia_vascular_Cap_a,Muscle_smooth_pulmonary,-0.043759539391812916,-11.853132835427797,1.0
1115,Chondrocyte,Mesothelia,-0.044232052288801775,-11.981122256987147,1.0
1499,Deuterosomal,SMG_Serous,-0.04439092557235445,-12.024156213928267,1.0
2908,Muscle_pericyte_parenchyma,Muscle_smooth_pulmonary,-0.04520019128880377,-12.2433617670385,1.0
2449,Macro_CHIT1,SMG_Serous,-0.04559749083329392,-12.350978171181403,1.0
2280,Fibro_perichondrial,Myoepithelial,-0.04658809548015211,-12.619302944014798,1.0
186,B_memory,Fibro_adventitial,-0.046591579109230744,-12.620246553540682,1.0
1261,DC_1,SMG_Serous,-0.04692570915982778,-12.710752256504637,1.0
434,B_plasma_IgG,Muscle_airway,-0.047163700884427714,-12.77521700098372,1.0
2067,Fibro_adventitial,Neuroendocrine,-0.04735336574102883,-12.826591461747034,1.0
2862,Muscle_airway,Muscle_perivascular_immune_recruiting,-0.047672890926809354,-12.913141149517054,1.0
