,A,B,R_val,R_z_score,R_p_val
2805,Macrophage_intermediate,Secretory_Goblet,-0.04099291339694311,-11.103737712012151,1.0
576,Basal,Macrophage_intermediate,-0.04112020404367481,-11.138216889932854,1.0
38,AT1,Ionocyte_n_Brush,-0.04112478791825211,-11.139458522615028,1.0
570,Basal,Macro_dividing,-0.04156283570346118,-11.258112390057688,1.0
2921,Muscle_pericyte_parenchyma,SMG_Serous,-0.041817485104188985,-11.327089194092638,1.0
2347,Ionocyte_n_Brush,Macro_int,-0.041842610015180255,-11.333894770924498,1.0
1824,Endothelia_vascular_arterial_pulmonary,SMG_Duct,-0.04187188219299019,-11.34182371663064,1.0
2629,Macro_dividing,Suprabasal,-0.04202418337548032,-11.383077490599431,1.0
2628,Macro_dividing,Secretory_Goblet,-0.04209775257665012,-11.403005157256386,1.0
773,CD4_naive_CM,Ionocyte_n_Brush,-0.042296915307204586,-11.456952304185686,1.0
71,AT1,SMG_Serous,-0.042319766275149766,-11.46314193877135,1.0
2827,Monocyte_CD14,SMG_Serous,-0.0423945182579164,-11.483389985111854,1.0
1473,Deuterosomal,Macro_dividing,-0.04264372070031621,-11.550891373237311,1.0
2296,Fibro_perichondrial,Suprabasal,-0.042847625630190386,-11.606123038222554,1.0
2023,Erythrocyte,SMG_Mucous,-0.04308744638187222,-11.671083210698885,1.0
561,Basal,Fibro_perichondrial,-0.04320626046172134,-11.70326634358246,1.0
1774,Endothelia_vascular_Cap_g,SMG_Serous,-0.04364568906499232,-11.822294232784417,1.0
2295,Fibro_perichondrial,Secretory_Goblet,-0.043723149073149344,-11.843275801120813,1.0
1185,Ciliated,Muscle_perivascular_immune_recruiting,-0.043798027228275124,-11.863558023729027,1.0
1721,Endothelia_vascular_Cap_a,SMG_Serous,-0.04398973854337169,-11.915486808069003,1.0
1479,Deuterosomal,Macrophage_intermediate,-0.04443764812387066,-12.036811936936981,1.0
2120,Fibro_alveolar,Secretory_Club,-0.04445426351938682,-12.041312543956694,1.0
3060,NKT,SMG_Mucous,-0.044470697543617134,-12.045764022992577,1.0
149,AT2,SMG_Serous,-0.04490884537139622,-12.164444988935086,1.0
2556,Macro_alveolar_metallothioneins,SMG_Mucous,-0.04518082319551394,-12.238115537628317,1.0
1894,Endothelia_vascular_venous_pulmonary,Ionocyte_n_Brush,-0.04528629186880757,-12.266683804385705,1.0
1464,Deuterosomal,Fibro_perichondrial,-0.04548922187282555,-12.32165139150727,1.0
